Year,"Country of origin","Country of asylum","Country of origin (ISO)","Country of asylum (ISO)",Authority,"Application type","Stage of procedure","Cases / Persons",applied
2010,Albania,Austria,ALB,AUT,G,NR,FA,P,17
2010,Albania,Belgium,ALB,BEL,G,N,FI,P,208
2010,Albania,Belgium,ALB,BEL,G,N,RA,P,58
2010,Albania,Denmark,ALB,DNK,G,N,FI,P,6
2010,Albania,Finland,ALB,FIN,G,N,FI,P,12
2010,Albania,France,ALB,FRA,G,N,FI,P,479
2010,Albania,France,ALB,FRA,G,R,RA,P,38
2010,Albania,"United Kingdom of Great Britain and Northern Ireland",ALB,GBR,G,N,FI,P,219
2010,Albania,"United Kingdom of Great Britain and Northern Ireland",ALB,GBR,G,R,RA,P,14
2010,Albania,Germany,ALB,DEU,G,N,NA,P,39
2010,Albania,Germany,ALB,DEU,G,N,RA,P,7
2010,Albania,Greece,ALB,GRC,G,A,AR,P,44
2010,Albania,Greece,ALB,GRC,G,N,FI,P,693
2010,Albania,Ireland,ALB,IRL,G,R,AR,P,20
2010,Albania,Ireland,ALB,IRL,G,N,FI,P,13
2010,Albania,Ireland,ALB,IRL,G,A,SP,P,36
2010,Albania,Italy,ALB,ITA,G,N,FI,P,35
2010,Albania,Luxembourg,ALB,LUX,G,N,FI,P,18
2010,Albania,"Netherlands (Kingdom of the)",ALB,NLD,G,N,FI,P,17
2010,Albania,Norway,ALB,NOR,G,N,AR,P,21
2010,Albania,Norway,ALB,NOR,G,N,FI,P,24
2010,Albania,Spain,ALB,ESP,G,N,FI,P,5
2010,Albania,Sweden,ALB,SWE,G,N,FI,P,61
2010,Albania,Sweden,ALB,SWE,G,N,JR,P,36
2010,Albania,Switzerland,ALB,CHE,G,N,FI,P,13
2010,Albania,Switzerland,ALB,CHE,G,R,RA,P,5
2010,Armenia,Austria,ARM,AUT,G,NR,FA,P,278
2010,Armenia,Azerbaijan,ARM,AZE,U,N,FI,P,5
2010,Armenia,Belgium,ARM,BEL,G,N,FI,P,1266
2010,Armenia,Belgium,ARM,BEL,G,N,RA,P,59
2010,Armenia,Bulgaria,ARM,BGR,G,N,FI,C,62
2010,Armenia,Cyprus,ARM,CYP,G,N,AR,P,5
2010,Armenia,Cyprus,ARM,CYP,G,N,FI,P,19
2010,Armenia,Czechia,ARM,CZE,G,N,AR,P,9
2010,Armenia,Czechia,ARM,CZE,G,N,FI,P,19
2010,Armenia,Denmark,ARM,DNK,G,N,FI,P,32
2010,Armenia,Finland,ARM,FIN,G,N,FI,P,11
2010,Armenia,France,ARM,FRA,G,A,AR,P,2264
2010,Armenia,France,ARM,FRA,G,N,FI,P,1775
2010,Armenia,France,ARM,FRA,G,R,RA,P,381
2010,Armenia,"United Kingdom of Great Britain and Northern Ireland",ARM,GBR,G,N,FI,P,24
2010,Armenia,"United Kingdom of Great Britain and Northern Ireland",ARM,GBR,G,R,RA,P,5
2010,Armenia,Germany,ARM,DEU,G,N,NA,P,296
2010,Armenia,Germany,ARM,DEU,G,N,RA,P,92
2010,Armenia,Greece,ARM,GRC,G,A,AR,P,5
2010,Armenia,Greece,ARM,GRC,G,N,FI,P,71
2010,Armenia,Hungary,ARM,HUN,G,N,FI,P,11
2010,Armenia,Ireland,ARM,IRL,G,R,AR,P,9
2010,Armenia,Ireland,ARM,IRL,G,N,FI,P,9
2010,Armenia,Ireland,ARM,IRL,G,A,SP,P,5
2010,Armenia,Italy,ARM,ITA,G,N,FI,P,53
2010,Armenia,Lithuania,ARM,LTU,G,N,FI,P,22
2010,Armenia,Luxembourg,ARM,LUX,G,N,FI,P,5
2010,Armenia,"Rep. of Moldova",ARM,MDA,G,NR,FA,P,36
2010,Armenia,Malta,ARM,MLT,G,A,AR,P,5
2010,Armenia,"Netherlands (Kingdom of the)",ARM,NLD,G,N,FI,P,611
2010,Armenia,"Netherlands (Kingdom of the)",ARM,NLD,G,R,RA,P,40
2010,Armenia,Norway,ARM,NOR,G,N,AR,P,31
2010,Armenia,Norway,ARM,NOR,G,N,FI,P,17
2010,Armenia,Poland,ARM,POL,G,N,FI,P,107
2010,Armenia,Spain,ARM,ESP,G,N,FI,P,37
2010,Armenia,Slovakia,ARM,SVK,G,N,FI,P,12
2010,Armenia,Sweden,ARM,SWE,G,N,FI,P,272
2010,Armenia,Sweden,ARM,SWE,G,N,JR,P,204
2010,Armenia,Switzerland,ARM,CHE,G,N,FI,P,77
2010,Armenia,Switzerland,ARM,CHE,G,R,RA,P,28
2010,Armenia,Ukraine,ARM,UKR,G,N,FI,P,10
2010,Azerbaijan,Austria,AZE,AUT,G,NR,FA,P,87
2010,Azerbaijan,Belgium,AZE,BEL,G,N,FI,P,76
2010,Azerbaijan,Belgium,AZE,BEL,G,N,RA,P,13
2010,Azerbaijan,Belarus,AZE,BLR,G,N,FI,P,5
2010,Azerbaijan,Czechia,AZE,CZE,G,N,FI,P,5
2010,Azerbaijan,Denmark,AZE,DNK,G,N,FI,P,14
2010,Azerbaijan,Finland,AZE,FIN,G,N,FI,P,9
2010,Azerbaijan,France,AZE,FRA,G,A,AR,P,476
2010,Azerbaijan,France,AZE,FRA,G,N,FI,P,770
2010,Azerbaijan,France,AZE,FRA,G,R,RA,P,109
2010,Azerbaijan,"United Kingdom of Great Britain and Northern Ireland",AZE,GBR,G,N,FI,P,17
2010,Azerbaijan,Georgia,AZE,GEO,G,NR,FA,P,6
2010,Azerbaijan,Germany,AZE,DEU,G,N,NA,P,469
2010,Azerbaijan,Germany,AZE,DEU,G,N,RA,P,64
2010,Azerbaijan,Greece,AZE,GRC,G,A,AR,P,5
2010,Azerbaijan,Hungary,AZE,HUN,G,N,FI,P,7
2010,Azerbaijan,Italy,AZE,ITA,G,N,FI,P,17
2010,Azerbaijan,Lithuania,AZE,LTU,G,N,FI,P,5
2010,Azerbaijan,"Netherlands (Kingdom of the)",AZE,NLD,G,N,FI,P,81
2010,Azerbaijan,"Netherlands (Kingdom of the)",AZE,NLD,G,R,RA,P,22
2010,Azerbaijan,Norway,AZE,NOR,G,N,AR,P,72
2010,Azerbaijan,Norway,AZE,NOR,G,N,FI,P,46
2010,Azerbaijan,Poland,AZE,POL,G,N,FI,P,10
2010,Azerbaijan,"Russian Federation",AZE,RUS,G,N,FI,P,16
2010,Azerbaijan,"Russian Federation",AZE,RUS,G,N,TA,P,5
2010,Azerbaijan,Spain,AZE,ESP,G,N,FI,P,12
2010,Azerbaijan,Sweden,AZE,SWE,G,N,FI,P,271
2010,Azerbaijan,Sweden,AZE,SWE,G,N,JR,P,354
2010,Azerbaijan,Switzerland,AZE,CHE,G,N,FI,P,31
2010,Azerbaijan,Switzerland,AZE,CHE,G,R,RA,P,6
2010,Azerbaijan,Ukraine,AZE,UKR,G,A,AR,P,6
2010,Azerbaijan,Ukraine,AZE,UKR,G,N,FI,P,13
2010,Belgium,"Netherlands (Kingdom of the)",BEL,NLD,G,N,FI,P,5
2010,Belarus,Austria,BLR,AUT,G,NR,FA,P,40
2010,Belarus,Belgium,BLR,BEL,G,N,FI,P,50
2010,Belarus,Belgium,BLR,BEL,G,N,RA,P,13
2010,Belarus,Czechia,BLR,CZE,G,N,AR,P,33
2010,Belarus,Czechia,BLR,CZE,G,N,FI,P,67
2010,Belarus,Denmark,BLR,DNK,G,N,FI,P,6
2010,Belarus,Finland,BLR,FIN,G,N,FI,P,66
2010,Belarus,France,BLR,FRA,G,N,FI,P,62
2010,Belarus,France,BLR,FRA,G,R,RA,P,12
2010,Belarus,"United Kingdom of Great Britain and Northern Ireland",BLR,GBR,G,N,FI,P,35
2010,Belarus,Germany,BLR,DEU,G,N,NA,P,51
2010,Belarus,Germany,BLR,DEU,G,N,RA,P,8
2010,Belarus,Greece,BLR,GRC,G,N,FI,P,8
2010,Belarus,Ireland,BLR,IRL,G,R,AR,P,5
2010,Belarus,Italy,BLR,ITA,G,N,FI,P,5
2010,Belarus,Liechtenstein,BLR,LIE,G,N,FA,P,5
2010,Belarus,Lithuania,BLR,LTU,G,N,FI,P,9
